Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
AMGN-US,12/31/2021,AMGN-US_12/31/2021,0.60184624,0.626240065,0.535493032
MRNA-US,12/31/2021,MRNA-US_12/31/2021,0.210090999,0.796046484,-0.276514452
PLD-US,12/31/2021,PLD-US_12/31/2021,0.739983275,0.850698861,0.686027177
SPGI-US,12/31/2021,SPGI-US_12/31/2021,0.968352524,1.100314556,0.911598393
CAT-US,12/31/2021,CAT-US_12/31/2021,0.931392045,0.855111115,0.900320993
GE-US,12/31/2021,GE-US_12/31/2021,1.037161425,0.974695121,1.004149428
BA-US,12/31/2021,BA-US_12/31/2021,1.499117517,1.322542449,1.693620462
ZTS-US,12/31/2021,ZTS-US_12/31/2021,0.828624229,0.812919809,0.849337476
IBM-US,12/31/2021,IBM-US_12/31/2021,0.523835851,0.707559558,0.298899029
ANTM-US,12/31/2021,ANTM-US_12/31/2021,0.685565369,0.730816969,0.714062907
MMM-US,12/31/2021,MMM-US_12/31/2021,0.459933605,0.463384947,0.310408457
DE-US,12/31/2021,DE-US_12/31/2021,1.089626336,1.093256569,1.001468963
AXP-US,12/31/2021,AXP-US_12/31/2021,1.153337408,1.21879309,1.211458101
BX-US,12/31/2021,BX-US_12/31/2021,1.351605342,1.320518387,1.464041825
ADP-US,12/31/2021,ADP-US_12/31/2021,0.883191947,1.069089609,0.698962197
COP-US,12/31/2021,COP-US_12/31/2021,1.117314894,1.16267163,1.04152119
ADI-US,12/31/2021,ADI-US_12/31/2021,1.377666282,1.376075949,1.443635676
MU-US,12/31/2021,MU-US_12/31/2021,1.724370735,1.715310362,1.751009581
LRCX-US,12/31/2021,LRCX-US_12/31/2021,1.953886687,2.144391677,1.955442629
GILD-US,12/31/2021,GILD-US_12/31/2021,0.348085014,0.488712398,0.180819124
BKNG-US,12/31/2021,BKNG-US_12/31/2021,1.43174643,1.31809186,1.633174168
CHTR-US,12/31/2021,CHTR-US_12/31/2021,0.610139745,0.523079469,0.709812574
SYK-US,12/31/2021,SYK-US_12/31/2021,1.092633403,1.112672556,1.144621655
LMT-US,12/31/2021,LMT-US_12/31/2021,0.439334443,0.484575135,0.425863764
PNC-US,12/31/2021,PNC-US_12/31/2021,1.0056693,0.993432842,1.046641242
MMC-US,12/31/2021,MMC-US_12/31/2021,0.750485586,0.809838479,0.754165753
SQ-US,12/31/2021,SQ-US_12/31/2021,1.98448316,1.743406728,2.144494547
MDLZ-US,12/31/2021,MDLZ-US_12/31/2021,0.502026996,0.50773405,0.512985543
TJX-US,12/31/2021,TJX-US_12/31/2021,1.043682783,0.927210519,1.070136126
GM-US,12/31/2021,GM-US_12/31/2021,1.28732319,1.184291271,1.408005912
MO-US,12/31/2021,MO-US_12/31/2021,0.590788858,0.654056706,0.526438996
CB-US,12/31/2021,CB-US_12/31/2021,0.947439983,0.870810469,1.021764721
CSX-US,12/31/2021,CSX-US_12/31/2021,1.007020463,1.074408012,0.895721328
TFC-US,12/31/2021,TFC-US_12/31/2021,1.156092745,1.150903092,1.221197944
CME-US,12/31/2021,CME-US_12/31/2021,0.724874366,0.987361396,0.445278231
