Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
AAPL-US,12/31/2015,AAPL-US_12/31/2015,1.145076978,1.244984086,1.087123446
MSFT-US,12/31/2015,MSFT-US_12/31/2015,1.250406306,1.280830502,1.206469851
XOM-US,12/31/2015,XOM-US_12/31/2015,1.074208985,1.146601346,0.974342629
GE-US,12/31/2015,GE-US_12/31/2015,1.001481558,1.031128651,0.919816258
JNJ-US,12/31/2015,JNJ-US_12/31/2015,0.835607623,0.914793396,0.755693645
AMZN-US,12/31/2015,AMZN-US_12/31/2015,1.11931233,1.324001445,0.929042113
WFC-US,12/31/2015,WFC-US_12/31/2015,1.103938173,1.105006633,1.171651264
BRK.B-US,12/31/2015,BRK.B-US_12/31/2015,0.978984158,1.024188418,0.915654672
JPM-US,12/31/2015,JPM-US_12/31/2015,1.213926471,1.182819556,1.273789619
FB-US,12/31/2015,FB-US_12/31/2015,1.067819013,1.04011761,1.183351472
GOOGL-US,12/31/2015,GOOGL-US_12/31/2015,1.064632369,1.124633878,1.015599926
GOOG-US,12/31/2015,GOOG-US_12/31/2015,1.084602128,1.168794273,1.019851864
PG-US,12/31/2015,PG-US_12/31/2015,0.76243745,0.776598872,0.77169628
T-US,12/31/2015,T-US_12/31/2015,0.721118187,0.748248274,0.683443474
PFE-US,12/31/2015,PFE-US_12/31/2015,0.933940848,0.985019175,0.85736352
VZ-US,12/31/2015,VZ-US_12/31/2015,0.733117761,0.813675375,0.694834594
DIS-US,12/31/2015,DIS-US_12/31/2015,0.906471606,0.954936498,0.960440179
BAC-US,12/31/2015,BAC-US_12/31/2015,1.253869294,1.213734163,1.354765682
HD-US,12/31/2015,HD-US_12/31/2015,1.008148896,1.005116031,1.00265362
CVX-US,12/31/2015,CVX-US_12/31/2015,1.193940127,1.215392633,1.136393144
KO-US,12/31/2015,KO-US_12/31/2015,0.641829702,0.651982619,0.679486451
INTC-US,12/31/2015,INTC-US_12/31/2015,1.013091705,1.058569306,0.941482068
C-US,12/31/2015,C-US_12/31/2015,1.277077989,1.189452633,1.413131256
V-US,12/31/2015,V-US_12/31/2015,1.050267798,1.000004816,1.082857605
MRK-US,12/31/2015,MRK-US_12/31/2015,1.013475978,1.056211259,0.955724274
GILD-US,12/31/2015,GILD-US_12/31/2015,1.188557164,1.115451071,1.228719256
PEP-US,12/31/2015,PEP-US_12/31/2015,0.760968362,0.798840368,0.778078474
CMCSA-US,12/31/2015,CMCSA-US_12/31/2015,0.983184384,0.950572686,1.014865102
CSCO-US,12/31/2015,CSCO-US_12/31/2015,1.081124345,1.120312834,1.081977105
PM-US,12/31/2015,PM-US_12/31/2015,0.814262029,0.852809063,0.811667479
IBM-US,12/31/2015,IBM-US_12/31/2015,1.019357128,0.994917972,0.950696023
AMGN-US,12/31/2015,AMGN-US_12/31/2015,1.349984937,1.36262415,1.36194266
AGN-US,12/31/2015,AGN-US_12/31/2015,1.126143083,1.146105958,1.116697923
ORCL-US,12/31/2015,ORCL-US_12/31/2015,1.041172932,1.01350928,1.071198616
BMY-US,12/31/2015,BMY-US_12/31/2015,0.949568623,0.939818459,0.932192825
MO-US,12/31/2015,MO-US_12/31/2015,0.743112782,0.809509287,0.674625562
MCD-US,12/31/2015,MCD-US_12/31/2015,0.843529625,0.98209379,0.775390842
UNH-US,12/31/2015,UNH-US_12/31/2015,1.034158054,0.99750485,1.027174151
CVS-US,12/31/2015,CVS-US_12/31/2015,0.912101871,0.959971361,0.795071397
MDT-US,12/31/2015,MDT-US_12/31/2015,1.00948753,1.036121495,0.914382756
BA-US,12/31/2015,BA-US_12/31/2015,0.999671863,1.065772864,0.947896094
ABBV-US,12/31/2015,ABBV-US_12/31/2015,1.062967647,0.953322394,1.155378585
MA-US,12/31/2015,MA-US_12/31/2015,1.108930206,1.095948879,1.126085271
WMT-US,12/31/2015,WMT-US_12/31/2015,0.729428232,0.733492942,0.643572285
MMM-US,12/31/2015,MMM-US_12/31/2015,0.884455222,0.915092259,0.820671314
CELG-US,12/31/2015,CELG-US_12/31/2015,1.433656589,1.501619302,1.318225881
SBUX-US,12/31/2015,SBUX-US_12/31/2015,1.050441073,1.057126643,1.089449845
SLB-US,12/31/2015,SLB-US_12/31/2015,0.922193458,0.718742113,1.023692779
RTX-US,12/31/2015,RTX-US_12/31/2015,0.917118045,0.900586281,0.88126424
NKE-US,12/31/2015,NKE-US_12/31/2015,0.980592122,0.989648722,1.01764191
LLY-US,12/31/2015,LLY-US_12/31/2015,0.982620234,1.057588252,0.925331666
HON-US,12/31/2015,HON-US_12/31/2015,1.078305799,1.128571844,1.044944267
GS-US,12/31/2015,GS-US_12/31/2015,1.209256217,1.086789229,1.354712383
AIG-US,12/31/2015,AIG-US_12/31/2015,1.018211366,1.026677557,1.042002586
QCOM-US,12/31/2015,QCOM-US_12/31/2015,0.873265095,0.837735274,0.856854541
WBA-US,12/31/2015,WBA-US_12/31/2015,1.07311857,1.057188851,1.040383061
MDLZ-US,12/31/2015,MDLZ-US_12/31/2015,0.926011145,0.907729137,0.923726932
LOW-US,12/31/2015,LOW-US_12/31/2015,0.941649062,0.906082256,0.942130171
USB-US,12/31/2015,USB-US_12/31/2015,1.076972219,1.024229478,1.192417813
COST-US,12/31/2015,COST-US_12/31/2015,0.74913502,0.787367563,0.710253287
UNP-US,12/31/2015,UNP-US_12/31/2015,1.106722867,1.104904335,1.031434097
BIIB-US,12/31/2015,BIIB-US_12/31/2015,1.200849258,1.244263514,1.204206914
UPS-US,12/31/2015,UPS-US_12/31/2015,0.876642104,0.804172019,0.894957886
ABT-US,12/31/2015,ABT-US_12/31/2015,1.139395403,1.029373809,1.216847848
BKNG-US,12/31/2015,BKNG-US_12/31/2015,0.993003846,0.813891546,1.125318932
ACN-US,12/31/2015,ACN-US_12/31/2015,1.039190816,1.051991917,1.039155135
SPG-US,12/31/2015,SPG-US_12/31/2015,0.734791104,0.812633764,0.651539471
DD.XX1-US,12/31/2015,DD.XX1-US_12/31/2015,0.858270989,0.89855732,0.885852926
CL-US,12/31/2015,CL-US_12/31/2015,0.863086458,0.837652216,0.890307221
AXP-US,12/31/2015,AXP-US_12/31/2015,0.82148507,0.625660652,1.029552935
ESRX-US,12/31/2015,ESRX-US_12/31/2015,0.834057791,0.827648695,0.797445208
LMT-US,12/31/2015,LMT-US_12/31/2015,0.812218586,0.839927212,0.761096938
COP-US,12/31/2015,COP-US_12/31/2015,1.245523759,1.223105869,1.173260685
DD-US,12/31/2015,DD-US_12/31/2015,1.281305323,1.475312102,1.116616419
TXN-US,12/31/2015,TXN-US_12/31/2015,1.20868325,1.388855928,1.055528678
TMO-US,12/31/2015,TMO-US_12/31/2015,1.073261349,1.076778603,1.066361473
DHR-US,12/31/2015,DHR-US_12/31/2015,0.945796705,1.028560319,0.900027175
F-US,12/31/2015,F-US_12/31/2015,1.053667528,0.973070168,1.11034835
GM-US,12/31/2015,GM-US_12/31/2015,1.024256234,0.941024587,1.165797164
TWX-US,12/31/2015,TWX-US_12/31/2015,0.978250585,0.991835965,0.961598739
TWC-US,12/31/2015,TWC-US_12/31/2015,0.778655345,0.784990034,0.798539802
OXY-US,12/31/2015,OXY-US_12/31/2015,1.062455204,0.959901603,1.110875575
CRM-US,12/31/2015,CRM-US_12/31/2015,1.14154158,1.16848018,1.223660194
EMC-US,12/31/2015,EMC-US_12/31/2015,1.069826861,1.119256131,1.018676773
DUK-US,12/31/2015,DUK-US_12/31/2015,0.586977355,0.606690379,0.559834208
PNC-US,12/31/2015,PNC-US_12/31/2015,1.10840432,1.154960828,1.10998506
MS-US,12/31/2015,MS-US_12/31/2015,1.348718598,1.261761722,1.485497627
NFLX-US,12/31/2015,NFLX-US_12/31/2015,1.384392763,1.366438845,1.562654417
TJX-US,12/31/2015,TJX-US_12/31/2015,0.856193701,0.787654544,0.899094013
ADBE-US,12/31/2015,ADBE-US_12/31/2015,1.015067732,1.033188321,1.028270222
KMB-US,12/31/2015,KMB-US_12/31/2015,0.825992351,0.855905434,0.820899194
TGT-US,12/31/2015,TGT-US_12/31/2015,0.727265782,0.583325706,0.814949078
BK-US,12/31/2015,BK-US_12/31/2015,1.192902731,1.110352822,1.361733042
NEE-US,12/31/2015,NEE-US_12/31/2015,0.659661749,0.648919224,0.668638101
MCK-US,12/31/2015,MCK-US_12/31/2015,0.822521911,0.794028789,0.779099802
MET-US,12/31/2015,MET-US_12/31/2015,1.222878949,1.165556939,1.302161138
PSX-US,12/31/2015,PSX-US_12/31/2015,1.273539675,1.315935209,1.241429714
PYPL-US,12/31/2015,PYPL-US_12/31/2015,#N/A,#N/A,#N/A
MON-US,12/31/2015,MON-US_12/31/2015,0.913435897,0.968889394,0.864890314
KHC-US,12/31/2015,KHC-US_12/31/2015,0.746761276,1.11938877,0.339406573
BLK-US,12/31/2015,BLK-US_12/31/2015,1.187648968,1.219587258,1.147903428
REGN-US,12/31/2015,REGN-US_12/31/2015,1.268872046,1.309241044,1.275061368
SO-US,12/31/2015,SO-US_12/31/2015,0.514200021,0.520287929,0.505454365
FDX-US,12/31/2015,FDX-US_12/31/2015,0.955187688,0.899725453,1.034057698
DAL-US,12/31/2015,DAL-US_12/31/2015,1.066762638,0.992091159,1.084510415
ALXN-US,12/31/2015,ALXN-US_12/31/2015,1.284815953,1.347598571,1.151905136
CASH_USD,12/31/2015,CASH_USD_12/31/2015,0,0,0
AMT-US,12/31/2015,AMT-US_12/31/2015,0.871348787,0.86850989,0.909660646
KR-US,12/31/2015,KR-US_12/31/2015,0.786108091,0.83489957,0.695678276
CAT-US,12/31/2015,CAT-US_12/31/2015,1.027916103,0.999446999,0.934812134
D-US,12/31/2015,D-US_12/31/2015,0.572854759,0.532740467,0.545833052
GD-US,12/31/2015,GD-US_12/31/2015,0.931097831,0.963614958,0.899004927
ADP-US,12/31/2015,ADP-US_12/31/2015,1.025378929,1.038128215,1.063033635
COF-US,12/31/2015,COF-US_12/31/2015,1.136281139,1.050406972,1.234021881
EOG-US,12/31/2015,EOG-US_12/31/2015,1.256530274,1.26779141,1.217676742
CB-US,12/31/2015,CB-US_12/31/2015,0.867145767,0.832251743,0.91770104
RAI-US,12/31/2015,RAI-US_12/31/2015,0.710019458,0.805323389,0.587532546
RTN-US,12/31/2015,RTN-US_12/31/2015,0.832627628,0.9214458,0.751336879
AET-US,12/31/2015,AET-US_12/31/2015,1.021481117,1.026831245,0.980669242
SCHW-US,12/31/2015,SCHW-US_12/31/2015,1.345336952,1.265921364,1.467808867
CI-US,12/31/2015,CI-US_12/31/2015,0.702092495,0.618074347,0.803912656
AVGO-US,12/31/2015,AVGO-US_12/31/2015,1.416610409,1.851910706,1.1434978
PRU-US,12/31/2015,PRU-US_12/31/2015,1.326956799,1.243977851,1.490483069
ANTM-US,12/31/2015,ANTM-US_12/31/2015,0.811117848,0.802363402,0.759185129
CTSH-US,12/31/2015,CTSH-US_12/31/2015,1.252754853,1.202678266,1.312316565
TRV-US,12/31/2015,TRV-US_12/31/2015,0.897002317,0.884600274,0.907397091
PSA-US,12/31/2015,PSA-US_12/31/2015,0.702847029,0.811861772,0.594568192
NOC-US,12/31/2015,NOC-US_12/31/2015,1.003251514,1.10930875,0.8735318
GIS-US,12/31/2015,GIS-US_12/31/2015,0.738234607,0.706338749,0.775514301
VLO-US,12/31/2015,VLO-US_12/31/2015,1.147157412,1.188701411,1.205173548
#N/A,12/31/2015,#N/A,#VALUE!,#VALUE!,#VALUE!
EBAY-US,12/31/2015,EBAY-US_12/31/2015,1.022817011,1.009376276,1.043869107
BDX-US,12/31/2015,BDX-US_12/31/2015,0.856843154,0.8240715,0.837333614
PCP-US,12/31/2015,PCP-US_12/31/2015,0.374514668,0.294343852,0.329575628
TFCFA-US,12/31/2015,TFCFA-US_12/31/2015,0.925046802,0.801721748,1.070370088
EMR-US,12/31/2015,EMR-US_12/31/2015,1.000996463,1.026813149,0.978185324
BRCM-US,12/31/2015,BRCM-US_12/31/2015,1.011285728,1.22858526,0.745176357
LYB-US,12/31/2015,LYB-US_12/31/2015,1.307438685,1.495594433,1.143487024
YUM-US,12/31/2015,YUM-US_12/31/2015,1.033504892,1.062569393,1.044437098
SYK-US,12/31/2015,SYK-US_12/31/2015,0.946250902,0.882164735,0.961443097
